object_name,object_type,dependency_count
AIGES_SCORES,TABLE,1
API_KEYS,TABLE,1
ATTRIBUTION,TABLE,0
CANDIDATE_USERS,TABLE,1
COMPANY_ESG_INPUTS,TABLE,1
COMPANY_ESG_INPUTS_LEVEL_1,TABLE,1
CONTACT_US_MESSAGES,TABLE,0
DR$ESG_DOCS_TEXT_IDX$B,TABLE,0
DR$ESG_DOCS_TEXT_IDX$C,TABLE,0
DR$ESG_DOCS_TEXT_IDX$I,TABLE,0
DR$ESG_DOCS_TEXT_IDX$K,TABLE,0
DR$ESG_DOCS_TEXT_IDX$N,TABLE,0
DR$ESG_DOCS_TEXT_IDX$Q,TABLE,0
DR$ESG_DOCS_TEXT_IDX$U,TABLE,0
DR$X_ESG_NEWS_TEXT_FT$B,TABLE,0
DR$X_ESG_NEWS_TEXT_FT$C,TABLE,0
DR$X_ESG_NEWS_TEXT_FT$I,TABLE,0
DR$X_ESG_NEWS_TEXT_FT$K,TABLE,0
DR$X_ESG_NEWS_TEXT_FT$N,TABLE,0
DR$X_ESG_NEWS_TEXT_FT$Q,TABLE,0
DR$X_ESG_NEWS_TEXT_FT$U,TABLE,0
DR$X_ESG_NEWS_TITLE_FT$B,TABLE,0
DR$X_ESG_NEWS_TITLE_FT$C,TABLE,0
DR$X_ESG_NEWS_TITLE_FT$I,TABLE,0
DR$X_ESG_NEWS_TITLE_FT$K,TABLE,0
DR$X_ESG_NEWS_TITLE_FT$N,TABLE,0
DR$X_ESG_NEWS_TITLE_FT$Q,TABLE,0
DR$X_ESG_NEWS_TITLE_FT$U,TABLE,0
DR$X_NEWS_ITEMS_FT$B,TABLE,0
DR$X_NEWS_ITEMS_FT$C,TABLE,0
DR$X_NEWS_ITEMS_FT$I,TABLE,0
DR$X_NEWS_ITEMS_FT$K,TABLE,0
DR$X_NEWS_ITEMS_FT$N,TABLE,0
DR$X_NEWS_ITEMS_FT$Q,TABLE,0
DR$X_NEWS_ITEMS_FT$U,TABLE,0
DR$X_NEWS_ITEMS_SUMMARY_FT$B,TABLE,0
DR$X_NEWS_ITEMS_SUMMARY_FT$C,TABLE,0
DR$X_NEWS_ITEMS_SUMMARY_FT$I,TABLE,0
DR$X_NEWS_ITEMS_SUMMARY_FT$K,TABLE,0
DR$X_NEWS_ITEMS_SUMMARY_FT$N,TABLE,0
DR$X_NEWS_ITEMS_SUMMARY_FT$Q,TABLE,0
DR$X_NEWS_ITEMS_SUMMARY_FT$U,TABLE,0
EBA_DEMO_CHART_BBALL,TABLE,2
EBA_DEMO_CHART_DEPT,TABLE,1
EBA_DEMO_CHART_EMP,TABLE,1
EBA_DEMO_CHART_GRADES,TABLE,1
EBA_DEMO_CHART_ORDERS,TABLE,2
EBA_DEMO_CHART_POPULATION,TABLE,2
EBA_DEMO_CHART_PRODUCTS,TABLE,2
EBA_DEMO_CHART_PROJECTS,TABLE,2
EBA_DEMO_CHART_SAMPLES,TABLE,1
EBA_DEMO_CHART_SAMPLE_DATA,TABLE,2
EBA_DEMO_CHART_SAMPLE_NAMES,TABLE,1
EBA_DEMO_CHART_STATS,TABLE,2
EBA_DEMO_CHART_STOCKS,TABLE,2
EBA_DEMO_CHART_TASKS,TABLE,2
EEA_LIST_UPLOADED,TABLE,0
EEA_LIST_UPLOADED_OLD,TABLE,0
EEA_LIST_UPLOAD_DOWNLOAD,TABLE,0
EEA_LIST_UPLOAD_DOWNLOAD_OLD,TABLE,0
EEA_LIST_UPLOAD_PENDING,TABLE,0
EMEA_GREEN_BOND_ISS_PERC,TABLE,0
ESG_ATTRIBUTION_DAILY,TABLE,1
ESG_BENCHMARKS,TABLE,2
ESG_BENCHMARK_PRICES,TABLE,2
ESG_COMPANIES,TABLE,2
ESG_CONSTITUENT_PRICES,TABLE,1
ESG_DOCS,TABLE,1
ESG_EMBEDDINGS,TABLE,0
ESG_INDEX_LEVELS,TABLE,3
ESG_METADATA,TABLE,0
ESG_NEWS,TABLE,2
ESG_SCORES,TABLE,0
EU_SDG_13_10_NET_GREENHOUSE_GAS_EMISSIONS,TABLE,1
EU_SDG_13_31_AVG_CO2_KM_NEW_PASSENGER_CARS,TABLE,0
INDEX_ACTIONS,TABLE,0
INDEX_BALANCE_SHEET,TABLE,0
INDEX_CASH_FLOW,TABLE,0
INDEX_COMPANIES,TABLE,0
INDEX_CONSTITUENTS,TABLE,0
INDEX_CONSTITUENT_PRICES,TABLE,0
INDEX_DAILY_LEVELS,TABLE,0
INDEX_DAILY_RETURNS,TABLE,0
INDEX_DIVIDENDS,TABLE,0
INDEX_ESG_SCORES,TABLE,0
INDEX_FINANCIALS,TABLE,0
INDEX_LEVELS,TABLE,1
INDEX_REBALANCE_DATES,TABLE,0
INDEX_SPLITS,TABLE,0
INDEX_STOCK_PRICES,TABLE,0
NEWS_CATEGORIES,TABLE,2
NEWS_ITEMS,TABLE,3
NEWS_ITEM_CATEGORIES,TABLE,2
NEWS_ITEM_TAGS,TABLE,2
NEWS_ITEM_TICKERS,TABLE,2
NEWS_SOURCES,TABLE,0
NEWS_TAGS,TABLE,2
RATE_LIMIT_LOG,TABLE,1
SC_IDX_DIVISOR,TABLE,0
SC_IDX_HOLDINGS,TABLE,0
SC_IDX_JOB_RUNS,TABLE,0
SC_IDX_LEVELS,TABLE,0
SC_IDX_PRICES_CANON,TABLE,0
SC_IDX_PRICES_RAW,TABLE,0
TECH100_COMPANIES,TABLE,0
TECH11_AI_GOV_ETH_INDEX,TABLE,1
VECTOR$ESG_DOCS_HNSW$165913_172112_0$HNSW_CHECKPOINTS,TABLE,0
VECTOR$ESG_DOCS_HNSW$165913_172112_0$HNSW_SHARED_JOURNAL_CHANGE_LOG,TABLE,0
VECTOR$ESG_DOCS_HNSW$165913_172112_2$HNSW_ROWID_VID_MAP,TABLE,0
ESG_BENCHMARK_RETURNS,VIEW,2
ESG_BENCH_DAILY_RET,VIEW,2
ESG_BENCH_RISK_30D,VIEW,0
ESG_BENCH_SECTOR_DAILY,VIEW,1
ESG_INDEX_DAILY_RET,VIEW,1
ESG_INDEX_RETURNS,VIEW,1
ESG_INDEX_RISK_30D,VIEW,0
ESG_INDEX_SECTOR_DAILY,VIEW,1
ESG_INDEX_VS_BENCH_YTD,VIEW,0
ESG_SCORE_00,VIEW,0
ESG_SCORE_01,VIEW,3
ESG_SCORE_ENVIRONMENTAL,VIEW,0
ESG_SCORE_GOVERNANCE,VIEW,0
ESG_SCORE_SOCIAL,VIEW,0
NET_GREENHOUSE_GAS_EMISSIONS,VIEW,1
NET_GREENHOUSE_GAS_EMISSIONS_MAX_YEAR,VIEW,0
NET_GREENHOUSE_GAS_EMISSIONS_NEW,VIEW,1
SC_CHUNKS,VIEW,0
TECH11_AI_GOV_ETH_PERF_00,VIEW,0
V_NEWS_ALL,VIEW,1
V_NEWS_ENRICHED,VIEW,2
V_NEWS_RECENT,VIEW,0
V_NEWS_SEARCH,VIEW,0
V_TECH100_NEWS,VIEW,0
