object_name,suggested_old_name,action,reason
CONTACT_US_MESSAGES,OLD_CONTACT_US_MESSAGES,RENAME_TABLE,0 runtime hits
EEA_LIST_UPLOADED,OLD_EEA_LIST_UPLOADED,RENAME_TABLE,0 runtime hits
EEA_LIST_UPLOADED_OLD,OLD_EEA_LIST_UPLOADED_OLD,RENAME_TABLE,0 runtime hits
EEA_LIST_UPLOAD_DOWNLOAD,OLD_EEA_LIST_UPLOAD_DOWNLOAD,RENAME_TABLE,0 runtime hits
EEA_LIST_UPLOAD_DOWNLOAD_OLD,OLD_B041128D_EEA_LIST_UPLOAD_D,RENAME_TABLE,0 runtime hits
EEA_LIST_UPLOAD_PENDING,OLD_EEA_LIST_UPLOAD_PENDING,RENAME_TABLE,0 runtime hits
EMEA_GREEN_BOND_ISS_PERC,OLD_EMEA_GREEN_BOND_ISS_PERC,RENAME_TABLE,0 runtime hits
ESG_EMBEDDINGS,OLD_ESG_EMBEDDINGS,RENAME_TABLE,0 runtime hits
ESG_METADATA,OLD_ESG_METADATA,RENAME_TABLE,0 runtime hits
ESG_SCORES,OLD_ESG_SCORES,RENAME_TABLE,0 runtime hits
EU_SDG_13_31_AVG_CO2_KM_NEW_PASSENGER_CARS,OLD_7CEB1CB3_EU_SDG_13_31_AVG_,RENAME_TABLE,0 runtime hits
INDEX_ACTIONS,OLD_INDEX_ACTIONS,RENAME_TABLE,0 runtime hits
INDEX_BALANCE_SHEET,OLD_INDEX_BALANCE_SHEET,RENAME_TABLE,0 runtime hits
INDEX_CASH_FLOW,OLD_INDEX_CASH_FLOW,RENAME_TABLE,0 runtime hits
INDEX_CONSTITUENT_PRICES,OLD_INDEX_CONSTITUENT_PRICES,RENAME_TABLE,0 runtime hits
INDEX_DAILY_LEVELS,OLD_INDEX_DAILY_LEVELS,RENAME_TABLE,0 runtime hits
INDEX_DAILY_RETURNS,OLD_INDEX_DAILY_RETURNS,RENAME_TABLE,0 runtime hits
INDEX_DIVIDENDS,OLD_INDEX_DIVIDENDS,RENAME_TABLE,0 runtime hits
INDEX_ESG_SCORES,OLD_INDEX_ESG_SCORES,RENAME_TABLE,0 runtime hits
INDEX_FINANCIALS,OLD_INDEX_FINANCIALS,RENAME_TABLE,0 runtime hits
INDEX_REBALANCE_DATES,OLD_INDEX_REBALANCE_DATES,RENAME_TABLE,0 runtime hits
INDEX_SPLITS,OLD_INDEX_SPLITS,RENAME_TABLE,0 runtime hits
INDEX_STOCK_PRICES,OLD_INDEX_STOCK_PRICES,RENAME_TABLE,0 runtime hits
NEWS_SOURCES,OLD_NEWS_SOURCES,RENAME_TABLE,0 runtime hits
SC_IDX_DIVISOR,OLD_SC_IDX_DIVISOR,RENAME_TABLE,0 runtime hits
SC_IDX_HOLDINGS,OLD_SC_IDX_HOLDINGS,RENAME_TABLE,0 runtime hits
SC_IDX_JOB_RUNS,OLD_SC_IDX_JOB_RUNS,RENAME_TABLE,0 runtime hits
SC_IDX_LEVELS,OLD_SC_IDX_LEVELS,RENAME_TABLE,0 runtime hits
SC_IDX_PRICES_CANON,OLD_SC_IDX_PRICES_CANON,RENAME_TABLE,0 runtime hits
SC_IDX_PRICES_RAW,OLD_SC_IDX_PRICES_RAW,RENAME_TABLE,0 runtime hits
TECH100_COMPANIES,OLD_TECH100_COMPANIES,RENAME_TABLE,0 runtime hits
VECTOR$ESG_DOCS_HNSW$165913_172112_0$HNSW_CHECKPOINTS,OLD_7F3C9EAB_VECTOR$ESG_DOCS_H,SKIP,VECTOR$ internal – rename owning vector index during VM1 execution
VECTOR$ESG_DOCS_HNSW$165913_172112_0$HNSW_SHARED_JOURNAL_CHANGE_LOG,OLD_BD8614D2_VECTOR$ESG_DOCS_H,SKIP,VECTOR$ internal – rename owning vector index during VM1 execution
VECTOR$ESG_DOCS_HNSW$165913_172112_2$HNSW_ROWID_VID_MAP,OLD_FCD45AEA_VECTOR$ESG_DOCS_H,SKIP,VECTOR$ internal – rename owning vector index during VM1 execution
