table_name,status,last_ddl_time,dependency_count,fk_inbound_count,synonym_count,text_hit_count,text_scan_complete,num_rows,last_analyzed,blocks,row_count_value,row_count_method,classification,notes
AIGES_SCORES,VALID,2025-08-09 16:55:45,1,0,0,6,True,2,2025-08-09 17:10:44,5,2,STATS,USED_LIKELY,
API_KEYS,VALID,2025-08-09 16:55:45,1,0,0,3,True,,,,,UNKNOWN,USED_LIKELY,
ATTRIBUTION,VALID,2025-08-09 16:55:45,0,0,0,6,True,2,2025-08-09 17:10:45,5,2,STATS,USED_POSSIBLE,
CANDIDATE_USERS,VALID,2024-12-15 12:50:24,1,0,0,2,True,1,2024-12-30 09:52:16,5,1,STATS,USED_LIKELY,
COMPANY_ESG_INPUTS,VALID,2024-11-16 14:13:57,1,0,0,4,True,1,2024-11-16 14:22:55,5,1,STATS,USED_LIKELY,
COMPANY_ESG_INPUTS_LEVEL_1,VALID,2024-12-15 12:44:04,1,0,0,1,True,4,2024-12-15 13:50:25,5,4,STATS,USED_LIKELY,
CONTACT_US_MESSAGES,VALID,2024-11-17 09:03:56,0,0,0,0,True,5,2024-12-25 21:26:08,5,5,STATS,UNUSED_CANDIDATE,
DR$ESG_DOCS_TEXT_IDX$B,VALID,2025-10-14 12:41:17,0,0,0,0,True,,,,,UNKNOWN,UNUSED_CANDIDATE,
DR$ESG_DOCS_TEXT_IDX$C,VALID,2025-10-14 12:41:17,0,0,0,0,True,,,,,UNKNOWN,UNUSED_CANDIDATE,
DR$ESG_DOCS_TEXT_IDX$I,VALID,2025-10-14 12:41:18,0,0,0,0,True,,,,,UNKNOWN,UNUSED_CANDIDATE,
DR$ESG_DOCS_TEXT_IDX$K,VALID,2025-10-14 12:41:18,0,0,0,0,True,,,,,UNKNOWN,UNUSED_CANDIDATE,
DR$ESG_DOCS_TEXT_IDX$N,VALID,2025-10-14 12:41:17,0,0,0,0,True,,,,,UNKNOWN,UNUSED_CANDIDATE,
DR$ESG_DOCS_TEXT_IDX$Q,VALID,2025-10-14 12:41:17,0,0,0,0,True,,,,,UNKNOWN,UNUSED_CANDIDATE,
DR$ESG_DOCS_TEXT_IDX$U,VALID,2025-10-14 12:41:17,0,0,0,0,True,,,,,UNKNOWN,UNUSED_CANDIDATE,
DR$X_ESG_NEWS_TEXT_FT$B,VALID,2025-08-13 09:42:44,0,0,0,0,True,,,,,UNKNOWN,UNUSED_CANDIDATE,
DR$X_ESG_NEWS_TEXT_FT$C,VALID,2025-08-13 09:42:44,0,0,0,0,True,,,,,UNKNOWN,UNUSED_CANDIDATE,
DR$X_ESG_NEWS_TEXT_FT$I,VALID,2025-08-13 09:42:43,0,0,0,0,True,,,,,UNKNOWN,UNUSED_CANDIDATE,
DR$X_ESG_NEWS_TEXT_FT$K,VALID,2025-08-13 09:42:43,0,0,0,0,True,,,,,UNKNOWN,UNUSED_CANDIDATE,
DR$X_ESG_NEWS_TEXT_FT$N,VALID,2025-08-13 09:42:43,0,0,0,0,True,,,,,UNKNOWN,UNUSED_CANDIDATE,
DR$X_ESG_NEWS_TEXT_FT$Q,VALID,2025-08-13 09:42:44,0,0,0,0,True,,,,,UNKNOWN,UNUSED_CANDIDATE,
DR$X_ESG_NEWS_TEXT_FT$U,VALID,2025-08-13 09:42:44,0,0,0,0,True,,,,,UNKNOWN,UNUSED_CANDIDATE,
DR$X_ESG_NEWS_TITLE_FT$B,VALID,2025-08-13 09:42:43,0,0,0,0,True,,,,,UNKNOWN,UNUSED_CANDIDATE,
DR$X_ESG_NEWS_TITLE_FT$C,VALID,2025-08-13 09:42:43,0,0,0,0,True,,,,,UNKNOWN,UNUSED_CANDIDATE,
DR$X_ESG_NEWS_TITLE_FT$I,VALID,2025-08-13 09:42:43,0,0,0,0,True,,,,,UNKNOWN,UNUSED_CANDIDATE,
DR$X_ESG_NEWS_TITLE_FT$K,VALID,2025-08-13 09:42:43,0,0,0,0,True,,,,,UNKNOWN,UNUSED_CANDIDATE,
DR$X_ESG_NEWS_TITLE_FT$N,VALID,2025-08-13 09:42:43,0,0,0,0,True,,,,,UNKNOWN,UNUSED_CANDIDATE,
DR$X_ESG_NEWS_TITLE_FT$Q,VALID,2025-08-13 09:42:43,0,0,0,0,True,,,,,UNKNOWN,UNUSED_CANDIDATE,
DR$X_ESG_NEWS_TITLE_FT$U,VALID,2025-08-13 09:42:43,0,0,0,0,True,,,,,UNKNOWN,UNUSED_CANDIDATE,
DR$X_NEWS_ITEMS_FT$B,VALID,2025-08-13 09:42:41,0,0,0,0,True,,,,,UNKNOWN,UNUSED_CANDIDATE,
DR$X_NEWS_ITEMS_FT$C,VALID,2025-08-13 09:42:41,0,0,0,0,True,,,,,UNKNOWN,UNUSED_CANDIDATE,
DR$X_NEWS_ITEMS_FT$I,VALID,2025-08-13 09:42:41,0,0,0,0,True,,,,,UNKNOWN,UNUSED_CANDIDATE,
DR$X_NEWS_ITEMS_FT$K,VALID,2025-08-13 09:42:41,0,0,0,0,True,,,,,UNKNOWN,UNUSED_CANDIDATE,
DR$X_NEWS_ITEMS_FT$N,VALID,2025-08-13 09:42:41,0,0,0,0,True,,,,,UNKNOWN,UNUSED_CANDIDATE,
DR$X_NEWS_ITEMS_FT$Q,VALID,2025-08-13 09:42:41,0,0,0,0,True,,,,,UNKNOWN,UNUSED_CANDIDATE,
DR$X_NEWS_ITEMS_FT$U,VALID,2025-08-13 09:42:41,0,0,0,0,True,,,,,UNKNOWN,UNUSED_CANDIDATE,
DR$X_NEWS_ITEMS_SUMMARY_FT$B,VALID,2025-08-13 09:42:42,0,0,0,0,True,,,,,UNKNOWN,UNUSED_CANDIDATE,
DR$X_NEWS_ITEMS_SUMMARY_FT$C,VALID,2025-08-13 09:42:42,0,0,0,0,True,,,,,UNKNOWN,UNUSED_CANDIDATE,
DR$X_NEWS_ITEMS_SUMMARY_FT$I,VALID,2025-08-13 09:42:42,0,0,0,0,True,,,,,UNKNOWN,UNUSED_CANDIDATE,
DR$X_NEWS_ITEMS_SUMMARY_FT$K,VALID,2025-08-13 09:42:42,0,0,0,0,True,,,,,UNKNOWN,UNUSED_CANDIDATE,
DR$X_NEWS_ITEMS_SUMMARY_FT$N,VALID,2025-08-13 09:42:42,0,0,0,0,True,,,,,UNKNOWN,UNUSED_CANDIDATE,
DR$X_NEWS_ITEMS_SUMMARY_FT$Q,VALID,2025-08-13 09:42:42,0,0,0,0,True,,,,,UNKNOWN,UNUSED_CANDIDATE,
DR$X_NEWS_ITEMS_SUMMARY_FT$U,VALID,2025-08-13 09:42:42,0,0,0,0,True,,,,,UNKNOWN,UNUSED_CANDIDATE,
EBA_DEMO_CHART_BBALL,VALID,2024-11-15 15:35:10,2,0,0,13,True,10,2024-11-15 15:35:20,5,10,STATS,USED_LIKELY,
EBA_DEMO_CHART_DEPT,VALID,2024-11-15 15:35:10,1,0,0,5,True,4,2024-11-15 15:35:20,5,4,STATS,USED_LIKELY,
EBA_DEMO_CHART_EMP,VALID,2024-11-15 15:35:10,1,1,0,15,True,14,2024-11-15 15:35:20,5,14,STATS,USED_LIKELY,
EBA_DEMO_CHART_GRADES,VALID,2024-11-15 15:35:10,1,0,0,16,True,15,2024-11-15 15:35:20,5,15,STATS,USED_LIKELY,
EBA_DEMO_CHART_ORDERS,VALID,2024-11-15 15:35:10,2,0,0,23,True,20,2024-11-15 15:35:20,5,20,STATS,USED_LIKELY,
EBA_DEMO_CHART_POPULATION,VALID,2024-11-15 15:35:10,2,0,0,53,True,51,2024-11-15 15:35:20,5,51,STATS,USED_LIKELY,
EBA_DEMO_CHART_PRODUCTS,VALID,2024-11-15 15:35:10,2,1,0,8,True,5,2024-11-15 15:35:20,5,5,STATS,USED_LIKELY,
EBA_DEMO_CHART_PROJECTS,VALID,2024-11-15 15:35:10,2,1,0,16,True,14,2024-11-15 15:35:20,5,14,STATS,USED_LIKELY,
EBA_DEMO_CHART_SAMPLES,VALID,2024-11-15 15:35:10,1,0,0,101,True,100,2024-11-15 15:35:20,5,100,STATS,USED_LIKELY,
EBA_DEMO_CHART_SAMPLE_DATA,VALID,2024-11-15 15:35:10,2,0,0,312,True,309,2024-11-15 15:35:21,5,309,STATS,USED_LIKELY,
EBA_DEMO_CHART_SAMPLE_NAMES,VALID,2024-11-15 15:35:10,1,1,0,6,True,5,2024-11-15 15:35:21,5,5,STATS,USED_LIKELY,
EBA_DEMO_CHART_STATS,VALID,2024-11-15 15:35:10,2,0,0,25,True,22,2024-11-15 15:35:20,5,22,STATS,USED_LIKELY,
EBA_DEMO_CHART_STOCKS,VALID,2024-11-15 15:35:10,2,0,0,5,True,501,2024-11-15 15:35:21,20,501,STATS,USED_LIKELY,
EBA_DEMO_CHART_TASKS,VALID,2024-11-15 15:35:10,2,0,0,77,True,73,2024-11-15 15:35:20,5,73,STATS,USED_LIKELY,
EEA_LIST_UPLOADED,VALID,2024-11-13 14:20:12,0,0,0,0,True,,,,,UNKNOWN,UNUSED_CANDIDATE,
EEA_LIST_UPLOADED_OLD,VALID,2024-11-13 14:16:28,0,0,0,0,True,245,2024-11-04 08:48:47,13,245,STATS,UNUSED_CANDIDATE,
EEA_LIST_UPLOAD_DOWNLOAD,VALID,2024-11-13 21:13:25,0,0,0,0,True,115,2024-11-14 01:49:03,13,115,STATS,UNUSED_CANDIDATE,
EEA_LIST_UPLOAD_DOWNLOAD_OLD,VALID,2024-11-07 10:20:56,0,0,0,0,True,,,,,UNKNOWN,UNUSED_CANDIDATE,
EEA_LIST_UPLOAD_PENDING,VALID,2024-11-08 16:13:10,0,0,0,0,True,50,2024-11-13 14:41:52,32,50,STATS,UNUSED_CANDIDATE,
EMEA_GREEN_BOND_ISS_PERC,VALID,2024-11-03 19:05:21,0,0,0,0,True,9,2024-11-03 19:17:27,5,9,STATS,UNUSED_CANDIDATE,
ESG_ATTRIBUTION_DAILY,VALID,2025-08-08 21:10:51,1,0,0,1,True,,,,,UNKNOWN,USED_LIKELY,
ESG_BENCHMARKS,VALID,2025-08-08 21:10:51,2,1,0,0,True,4,2025-08-08 23:46:55,32,4,STATS,USED_LIKELY,
ESG_BENCHMARK_PRICES,VALID,2025-08-08 21:10:51,2,0,0,0,True,,,,,UNKNOWN,USED_LIKELY,
ESG_COMPANIES,VALID,2025-08-08 21:10:51,2,0,0,0,True,,,,,UNKNOWN,USED_LIKELY,
ESG_CONSTITUENT_PRICES,VALID,2025-08-08 21:10:51,1,0,0,0,True,,,,,UNKNOWN,USED_LIKELY,
ESG_DOCS,VALID,2025-10-14 12:41:18,1,0,0,0,True,1681,2025-10-01 10:43:26,1772,1681,STATS,USED_LIKELY,
ESG_EMBEDDINGS,VALID,2025-10-14 10:24:58,0,0,0,0,True,,,,,UNKNOWN,UNUSED_CANDIDATE,
ESG_INDEX_LEVELS,VALID,2025-08-08 21:10:51,3,0,0,0,True,8,2025-08-09 13:01:05,40,8,STATS,USED_LIKELY,
ESG_METADATA,VALID,2025-05-16 09:05:53,0,0,0,0,True,,,,,UNKNOWN,UNUSED_CANDIDATE,
ESG_NEWS,VALID,2025-08-13 09:42:44,2,1,0,4,True,3,2025-10-01 09:36:01,20,3,STATS,USED_LIKELY,
ESG_SCORES,VALID,2025-05-16 09:06:00,0,0,0,0,True,,,,,UNKNOWN,UNUSED_CANDIDATE,
EU_SDG_13_10_NET_GREENHOUSE_GAS_EMISSIONS,VALID,2024-11-03 21:51:01,1,0,0,0,True,1287,2024-11-03 22:02:44,20,1287,STATS,USED_LIKELY,
EU_SDG_13_31_AVG_CO2_KM_NEW_PASSENGER_CARS,VALID,2024-11-13 13:59:03,0,0,0,0,True,936,2024-11-13 14:11:48,20,936,STATS,UNUSED_CANDIDATE,
INDEX_ACTIONS,VALID,2025-05-21 08:42:44,0,0,0,0,True,,,,,UNKNOWN,UNUSED_CANDIDATE,
INDEX_BALANCE_SHEET,VALID,2025-05-21 08:42:44,0,0,0,0,True,,,,,UNKNOWN,UNUSED_CANDIDATE,
INDEX_CASH_FLOW,VALID,2025-05-21 08:42:44,0,0,0,0,True,,,,,UNKNOWN,UNUSED_CANDIDATE,
INDEX_COMPANIES,VALID,2025-05-21 08:41:55,0,8,0,0,True,25,2025-05-21 09:08:15,5,25,STATS,USED_LIKELY,
INDEX_CONSTITUENTS,VALID,2025-05-21 09:57:40,0,0,0,3,True,24,2025-05-22 01:49:07,5,24,STATS,USED_POSSIBLE,
INDEX_CONSTITUENT_PRICES,VALID,2025-05-21 09:57:40,0,0,0,0,True,840,2025-05-21 10:23:29,13,840,STATS,UNUSED_CANDIDATE,
INDEX_DAILY_LEVELS,VALID,2025-05-21 19:35:29,0,0,0,0,True,,,,,UNKNOWN,UNUSED_CANDIDATE,
INDEX_DAILY_RETURNS,VALID,2025-05-21 19:35:29,0,0,0,0,True,,,,,UNKNOWN,UNUSED_CANDIDATE,
INDEX_DIVIDENDS,VALID,2025-05-21 08:42:43,0,0,0,0,True,,,,,UNKNOWN,UNUSED_CANDIDATE,
INDEX_ESG_SCORES,VALID,2025-05-21 08:42:44,0,0,0,0,True,,,,,UNKNOWN,UNUSED_CANDIDATE,
INDEX_FINANCIALS,VALID,2025-05-21 08:42:44,0,0,0,0,True,,,,,UNKNOWN,UNUSED_CANDIDATE,
INDEX_LEVELS,VALID,2025-05-21 09:58:12,1,0,0,6,True,35,2025-05-21 10:23:28,5,35,STATS,USED_LIKELY,
INDEX_REBALANCE_DATES,VALID,2025-05-21 19:35:29,0,0,0,0,True,,,,,UNKNOWN,UNUSED_CANDIDATE,
INDEX_SPLITS,VALID,2025-05-21 08:42:44,0,0,0,0,True,,,,,UNKNOWN,UNUSED_CANDIDATE,
INDEX_STOCK_PRICES,VALID,2025-05-21 19:35:29,0,0,0,0,True,2400,2025-05-21 09:08:16,28,2400,STATS,UNUSED_CANDIDATE,
NEWS_CATEGORIES,VALID,2025-08-13 09:47:31,2,1,0,3,True,6,2025-08-13 09:55:43,5,6,STATS,USED_LIKELY,
NEWS_ITEMS,VALID,2025-08-13 09:42:43,3,0,0,4,True,,,,,UNKNOWN,USED_LIKELY,
NEWS_ITEM_CATEGORIES,VALID,2025-08-13 09:47:31,2,0,0,1,True,5,2025-10-01 09:56:09,5,5,STATS,USED_LIKELY,
NEWS_ITEM_TAGS,VALID,2025-08-13 09:47:31,2,0,0,1,True,6,2025-10-01 09:56:09,5,6,STATS,USED_LIKELY,
NEWS_ITEM_TICKERS,VALID,2025-08-13 09:47:31,2,0,0,1,True,2,2025-10-01 09:56:09,5,2,STATS,USED_LIKELY,
NEWS_SOURCES,VALID,2025-08-13 09:47:31,0,0,0,0,True,,,,,UNKNOWN,UNUSED_CANDIDATE,
NEWS_TAGS,VALID,2025-08-13 09:47:31,2,1,0,3,True,5,2025-08-14 08:37:22,5,5,STATS,USED_LIKELY,
RATE_LIMIT_LOG,VALID,2025-08-09 16:55:45,1,0,0,2,True,,,,,UNKNOWN,USED_LIKELY,
SC_IDX_DIVISOR,VALID,2025-12-12 22:18:06,0,0,0,0,True,,,,,UNKNOWN,UNUSED_CANDIDATE,
SC_IDX_HOLDINGS,VALID,2025-12-12 22:18:06,0,0,0,0,True,,,,,UNKNOWN,UNUSED_CANDIDATE,
SC_IDX_JOB_RUNS,VALID,2025-12-14 10:20:55,0,0,0,0,True,20,2025-12-17 01:40:16,5,20,STATS,UNUSED_CANDIDATE,
SC_IDX_LEVELS,VALID,2025-12-12 22:18:06,0,0,0,0,True,,,,,UNKNOWN,UNUSED_CANDIDATE,
SC_IDX_PRICES_CANON,VALID,2025-12-12 22:18:05,0,0,0,0,True,26237,2025-12-14 11:40:34,244,26237,STATS,UNUSED_CANDIDATE,
SC_IDX_PRICES_RAW,VALID,2025-12-12 22:18:05,0,0,0,0,True,26237,2025-12-14 11:40:35,378,26237,STATS,UNUSED_CANDIDATE,
TECH100_COMPANIES,VALID,2025-10-14 10:24:58,0,0,0,0,True,2,2025-10-14 10:25:02,5,2,STATS,UNUSED_CANDIDATE,
TECH11_AI_GOV_ETH_INDEX,VALID,2025-05-19 21:32:32,1,0,0,0,True,400,2025-10-01 09:20:56,50,400,STATS,USED_LIKELY,
VECTOR$ESG_DOCS_HNSW$165913_172112_0$HNSW_CHECKPOINTS,VALID,2025-09-27 10:06:33,0,0,0,0,True,2,2025-12-17 08:58:41,5,2,STATS,UNUSED_CANDIDATE,
VECTOR$ESG_DOCS_HNSW$165913_172112_0$HNSW_SHARED_JOURNAL_CHANGE_LOG,VALID,2025-09-27 10:06:33,0,0,0,0,True,1676,2025-12-17 08:58:41,1006,1676,STATS,UNUSED_CANDIDATE,
VECTOR$ESG_DOCS_HNSW$165913_172112_2$HNSW_ROWID_VID_MAP,VALID,2025-11-08 10:02:59,0,0,0,0,True,1681,2025-12-17 08:58:41,5,1681,STATS,UNUSED_CANDIDATE,
